fruits,noodle,bread,sea_meat_proc,seafood,vegetables,milk_product,drink,seasoned,alcohol,meat,snack,y
-0.462288931,-0.370468133,-0.472260509,-0.087656039,-0.208911158,-1.106796046,-1.014359661,0.250256071,-0.949342006,-0.43900366,0.247370788,0.041695756,1
-0.874983992,0.812954488,-0.460815499,0.636976888,-0.417538633,0.148808932,-0.194030884,0.041066459,-0.072591186,11.72244904,-0.224533583,0.12060044,1
0.309118364,0.178235245,-0.057439466,0.531691826,-0.204587749,1.258953983,-0.106161235,-0.332333652,-0.108607241,-0.429140727,0.676315553,0.117269332,1
0.790124079,-1.284185397,-0.779640767,-1.327948028,-0.420758193,0.663757339,-0.140615779,-0.338889425,0.378059695,-0.431316374,-0.040248802,-0.856829333,1
0.983425441,-1.142279351,-0.030757152,-1.572707493,0.062022465,0.272180599,-0.895695875,-0.820738765,1.774582207,-0.343565282,-0.443751061,-0.57489987,1
0.648519593,-0.49187664,-0.5955328,-0.972780759,-0.220800532,-0.83519842,-0.953509432,-0.548674172,-0.254078336,-0.418262493,-0.174418272,-0.508978994,1
0.42431249,-0.192297209,-0.099686464,0.775121078,1.276179792,1.20674375,-0.173902373,-0.460717546,0.326924401,0.269967147,0.313064136,0.408027483,1
-0.616930021,0.083631215,-0.370511951,-0.628255207,-0.557666141,-0.628968004,-0.790580316,-0.336704168,-0.679911905,0.684790491,-0.182369056,0.207910537,1
-0.062921859,-0.949906718,-0.233066717,-0.440001754,-0.961793233,-1.01064686,0.357597424,-0.628820809,-0.499609703,-0.482704541,-0.184748692,-0.254961452,0
-0.73836861,1.547106714,-0.453139436,0.471888381,-0.462469955,-0.716975336,-0.518859065,0.847797883,-0.664116836,5.452705372,-0.278142401,0.520172555,0
0.209047285,-0.207036243,-0.67012727,2.881660308,0.849008197,0.123585739,0.256614394,-0.176990327,0.954884211,1.607643155,-0.261271939,1.336447279,0
-0.081916425,0.132043606,0.67969391,1.942243776,-0.235947687,-0.77415657,1.059947016,1.005136443,-0.957368683,-0.511631452,-0.073406592,0.398411258,0
-0.365695234,-0.427585872,0.01226025,-0.893248922,-0.140954477,-0.068391891,-0.386206191,-0.416450687,0.149478225,0.254686547,-0.040290796,0.208606884,0
-0.33264469,1.083413718,-0.038248243,1.302841521,0.22440402,3.001922717,0.741343238,0.838933738,1.26705386,-0.471918236,0.407192733,0.78279496,0
-0.630099586,-1.117795562,-0.335887578,-0.979581715,-0.67924933,-1.008529037,-0.985907726,-0.355509696,-0.982402377,-0.498393713,-0.217335705,-0.688686333,0
-1.14791379,0.194002584,-0.534791297,-0.394137457,-0.617854774,-1.146893505,-0.657433942,-0.69752879,-1.062026355,-0.021142942,-0.504492707,-1.274893714,0
-0.581223856,2.695603456,2.268546795,1.866163001,-0.068091554,0.60164208,-0.011123422,-0.471503354,1.361671005,-0.399551929,0.009755946,-0.013462529,0
0.428657497,-0.960566327,-0.797078224,-1.209982358,0.108707162,-0.131750111,-0.755265437,-0.182585016,-0.627162336,-0.522908045,-0.504907703,-0.73142216,0
-0.911599048,0.108059486,0.685105534,-0.458887052,-0.798599772,-0.577198985,0.614612367,-0.472959607,-0.771404097,-0.183629698,-0.155185215,0.416317331,0
1.195658054,-1.235051262,-0.759798145,-1.306027592,-0.4515092,0.689259463,-0.18722688,-0.387642218,0.63405902,-0.41161298,0.060493783,-0.847851426,0
0.975700985,1.754969092,0.098846238,0.892760751,1.101264412,1.671929564,4.06240269,0.085481479,2.268401628,1.057776043,-0.104792926,3.079547263,0
0.579094456,-0.968561034,-0.124834231,-0.365359859,-0.294405046,1.268484188,0.02754444,-0.253572037,1.154998276,-0.397394668,-0.279486195,-1.037257888,0
-0.259290391,-0.527691023,-0.812574366,-0.502226886,-0.816658921,-0.84401449,-0.704285448,-0.681662717,-0.869137683,-0.48309677,-0.352118282,-0.984517397,0
-1.184129771,0.2413046,-0.540196001,-0.507957549,-1.060810682,-1.528255199,-0.683027296,0.889035423,-1.116900176,0.2924173,-0.536092496,-0.213716932,0
1.123858596,0.491805414,2.263495945,-0.445397553,-0.608613354,1.337313452,1.842835852,1.045025092,0.365840868,-0.41308384,-0.116887075,-0.091021405,0
-0.62760655,0.619720723,-0.795650156,-0.310333944,-0.458588021,-0.770979835,-0.941245951,-0.727318995,-0.595274177,0.010339949,0.642524724,-0.662598179,0
-0.888805569,-1.346977157,-0.65156566,-0.906738421,-0.50265939,-1.191367798,-1.301747902,-0.692347176,-1.052139097,-0.352778585,-0.506923394,-0.98513132,0
-0.912551611,-0.854407758,-0.399238582,-1.363327762,-0.858584003,-1.328678623,-1.283734405,-0.560807245,-1.005514508,-0.113379674,-0.450589328,-0.890220224,0
-0.879688178,-0.294873739,0.564967475,1.369749436,-0.611536221,-0.955865826,0.067656142,0.425864618,-0.538233117,0.024644061,0.322533687,1.341464439,0
-0.059122946,0.188006554,1.837781503,-1.783555858,-1.090886569,-1.581047321,0.229682153,0.036728686,-1.264925497,-0.489568554,-0.665155183,2.759625425,0
2.653301013,-0.867294748,-0.601057167,0.935927148,0.326704399,0.638431699,0.1349301,-0.45966339,0.265706092,-0.524869191,-0.193483355,0.329174443,0
0.648994457,1.499138473,-0.336488869,0.939524348,0.12210364,0.257223471,1.079292226,-0.146463628,0.313389318,0.443937185,0.091053011,0.212983924,0
-0.451170779,0.579747188,-0.240282216,0.142744604,-0.330940896,-0.445893929,-0.326986158,-0.129474018,-0.206357857,-0.451326197,-0.274111018,-0.129221028,0
2.157238938,-1.09194601,-0.621621339,-0.840549945,1.736013908,1.970683864,-1.093846106,-0.751736942,2.060025925,-0.466917312,0.808987252,-1.181938959,0
-0.605984747,0.286550005,-0.857599529,-0.996551114,-0.045749466,-1.183940069,-1.043771706,-0.52017081,-1.046982052,-0.355357919,-0.291346641,-0.702595978,0
